"id","geom","hauteur","ordre","rayon","texte","central","ausol"
239,"01010000A0E6100000CEDC39A10173F2BF57473573EE1347400000000000004940",NULL,NULL,"3","1_l",False,False
232,"01010000A0E6100000FE19F1ED6372F2BF66267F21E81347400000000000804940",NULL,37,"4","1_p",False,False
233,"01010000A0E61000000E11758C3972F2BF7716DE2CE91347400000000000804940",NULL,39,"4","1_q",False,False
69,"01010000A0E61000009EE5D1FDC05BEEBF920F263314154740CDCCCCCCCC0C4F40",NULL,NULL,"9","5_f",False,False
73,"01010000A0E61000007E21417E7C5BEEBF375B74E012154740CDCCCCCCCC0C4F40",NULL,NULL,"5","5_l",False,False
74,"01010000A0E6100000DE14AF12DD5BEEBFB5D948E90F154740CDCCCCCCCC0C4F40",NULL,NULL,"9","5_g",False,False
75,"01010000A0E6100000DE0FC2B9435BEEBF7461F2F111154740CDCCCCCCCC0C4F40",NULL,NULL,"10","5_r",False,False
95,"01010000A0E6100000BE8EE5D3205BEEBF978F73760E154740CDCCCCCCCC0C4F40",NULL,NULL,"9","5_j",False,False
105,"01010000A0E6100000FE9B33D51C5CEEBF6CE7089A12154740CDCCCCCCCC0C4F40",NULL,NULL,"9","5_w",False,False
265,"01010000A0E6100000FEF6A05C525DEEBFABFC0BA90B154740CDCCCCCCCC0C4F40",NULL,9,"12","6_i",False,False
